物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
正气之剑,equipment,4,55,0,42,0,weapon,,"swordman, creator mage",是,[暴走]冷却时间 -5秒 | [嗜血]冷却时间 -5秒 | 施放[嗜血]时， 可以使所有敌人进入出血状态。 | 攻击速度 +4%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27351.equ
战争英雄之无双巨剑,equipment,3,65,124200,46,0,weapon,,"swordman, creator mage",否,每增加1名队员， 可以增加15点的力量和智力。 (若无其他队员时， 则只增加15点力量和智力) |     队伍中有1名队员死亡时， 武器会变红并增加自身30%%的攻击力， 效果持续10秒。 (解除装备后效果消失) |     HP降到10%%以下时， 消耗1个灵魂晶石， 可恢复10%%的HP。 (冷却时间为60秒； 在决斗场中无效),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27352.equ
黯淡的红宝石巨剑,equipment,0,70,56000,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27357.equ
红宝石巨剑,equipment,1,70,84000,42,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27358.equ
破穹巨剑,equipment,2,70,129600,45,0,weapon,,"swordman, creator mage",是,[穿云破空剑]技能Lv +1 | [蛇腹剑 : 灭]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27359.equ
罗兰守卫[网咖],equipment,3,10,21600,12,0,weapon,,"swordman, creator mage",是,[毁灭之巨剑精通]技能Lv +1 |   | 攻击速度 +1%% | 不可强化、增幅、提炼、解体、送礼、仓库储存,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27360.equ
范戴克之剑[网咖],equipment,3,20,43200,19,0,weapon,,"swordman, creator mage",是,[毁灭之巨剑精通]技能Lv +2 |   | 不能强化、增幅、提炼、解体、送礼、储存仓库,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27361.equ
卡赞的诅咒[网咖],equipment,3,30,61200,25,0,weapon,,"swordman, creator mage",是,攻击时以 3%% 的机率让敌人呈现出血状态 | 自己出血状态时攻击力增加50%%  | 不可强化、增幅、提炼、解体、送礼、仓库储存,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27362.equ
阿甘左的大刀[网咖],equipment,3,40,79200,31,0,weapon,,"swordman, creator mage",是,[毁灭之巨剑精通]技能Lv +2 |   | 攻击速度 +2%% | 不可强化、增幅、提炼、解体、送礼、仓库储存,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27363.equ
高乐亚的教诲 - 果断[网咖],equipment,3,50,100800,38,0,weapon,,"swordman, creator mage",是,[毁灭之巨剑精通]技能Lv +1 |   | 攻击速度 +2%% | 不可强化、增幅、提炼、解体、送礼、仓库储存,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27364.equ
净化的恶魔奴役[网咖],equipment,3,65,124200,66,0,weapon,,"swordman, creator mage",是,物理攻击力增加20  | 不可强化、增幅、提炼、解体、送礼、仓库储存,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27366.equ
魔之密语巨剑,equipment,4,70,135000,50,0,weapon,,"swordman, creator mage",否,攻击速度 +3%% |     攻击时， 附加8000点伤害。 (在决斗场中无效) |     攻击时， 有10%%的几率出现冥炎之卡洛。 (在决斗场中无效),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27367.equ
净化之恶魔的奴隶,equipment,3,65,124200,66,0,weapon,,"swordman, creator mage",是,[魔剑控制]技能Lv +1 | [魔剑奥义]技能Lv +2 |   | 物理攻击力 +20,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27592.equ
恶魔的奴隶,equipment,4,65,126000,77,0,weapon,,"swordman, creator mage",是,[魔剑控制]技能Lv +2 |   | 物理攻击力 +30 | [暴走]持续时间 +10秒,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27593.equ
泰坦的战刃巨剑,equipment,3,65,124200,46,0,weapon,,"swordman, creator mage",是,[唤魔 : 狂暴]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27595.equ
神之豁免巨剑,equipment,5,0,107200,53,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27596.equ
简易巨剑,equipment,0,1,800,1,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27597.equ
萨乌塔的血饮巨剑,equipment,3,10,25200,13,0,weapon,,"swordman, creator mage",是,[招架]技能Lv +1 |   | 前冲攻击时， 附加10%%的伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_27598.equ
残忍之弑巨剑 : [拔刀斩],equipment,5,0,0,45,0,weapon,,swordman,是,[拔刀斩]冷却时间 -14%% | [拔刀斩]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro1.equ
疾风之影巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]跳跃距离 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro10.equ
精 · 加持的神之怒击巨剑 : [怒气爆发],equipment,5,70,0,61,0,weapon,,swordman,是,[怒气爆发]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro100.equ
精 · 加持的残忍之弑巨剑 : [嗜魂封魔斩],equipment,5,70,0,61,0,weapon,,swordman,是,[嗜魂封魔斩]冷却时间 -18%% | [嗜魂封魔斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro101.equ
精 · 加持的秘技之境巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]多段攻击 +2 | [崩山裂地斩]攻击力 -3%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro102.equ
精 · 加持的神之怒击巨剑 : [嗜魂封魔斩],equipment,5,70,0,61,0,weapon,,swordman,是,[嗜魂封魔斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro103.equ
精 · 加持的疾风之影巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -9%% | [崩山裂地斩]MP消耗量 -9%% | [崩山裂地斩]攻击力 +9%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro104.equ
精 · Mr.根之源巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro105.equ
精 · 秘技传授者巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro106.equ
精 · 苍鹰之眸巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro107.equ
精 · 无限猛袭巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro108.equ
精 · 血之泛滥巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro109.equ
苍穹之啸巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]冲击波范围 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro11.equ
精 · 终极鲁莽巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro110.equ
精 · 永生之谋杀巨剑,equipment,5,70,0,61,0,weapon,,swordman,否,攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro111.equ
精 · 加持的秘技之境巨剑 : [嗜魂封魔斩],equipment,5,70,0,61,0,weapon,,swordman,是,[嗜魂封魔斩]达到最高攻击力需吸附的敌人数 -2 | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro112.equ
嗜血之殇巨剑 : [血之狂暴],equipment,5,0,0,45,0,weapon,,swordman,是,[血之狂暴]杀死出血状态的敌人时， 自身HP恢复值 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro12.equ
血之反噬巨剑 : [血之狂暴],equipment,5,0,0,45,0,weapon,,swordman,是,[血之狂暴]出血几率 +17%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro13.equ
残忍之弑巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -14%% | [崩山裂地斩]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro14.equ
疾风之影巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -7%% | [崩山裂地斩]MP消耗量 -7%% | [崩山裂地斩]攻击力 +7%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro15.equ
神之怒击巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro16.equ
加持的残忍之弑巨剑 : [拔刀斩],equipment,5,0,0,45,0,weapon,,swordman,是,[拔刀斩]冷却时间 -18%% | [拔刀斩]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro17.equ
加持的神之怒击巨剑 : [拔刀斩],equipment,5,0,0,45,0,weapon,,swordman,是,[拔刀斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro18.equ
加持的残忍之弑巨剑 : [破军升龙击],equipment,5,0,0,45,0,weapon,,swordman,是,[破军升龙击]冷却时间 -18%% | [破军升龙击]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro19.equ
神之怒击巨剑 : [拔刀斩],equipment,5,0,0,45,0,weapon,,swordman,是,[拔刀斩]攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro2.equ
加持的疾风之影巨剑 : [破军升龙击],equipment,5,0,0,45,0,weapon,,swordman,是,[破军升龙击]突袭距离 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro20.equ
加持的残忍之弑巨剑 : [猛龙断空斩],equipment,5,0,0,45,0,weapon,,swordman,是,[猛龙断空斩]冷却时间 -18%% | [猛龙断空斩]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro21.equ
加持的神之怒击巨剑 : [猛龙断空斩],equipment,5,0,0,45,0,weapon,,swordman,是,[猛龙断空斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro22.equ
加持的残忍之弑巨剑 : [幻影剑舞],equipment,5,0,0,45,0,weapon,,swordman,是,[幻影剑舞]冷却时间 -18%% | [幻影剑舞]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro23.equ
加持的神之怒击巨剑 : [幻影剑舞],equipment,5,0,0,45,0,weapon,,swordman,是,[幻影剑舞]攻击力 +18%% | [钝器精通]下[幻影剑舞]的冲击波攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro24.equ
加持的残忍之弑巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]冷却时间 -18%% | [崩山击]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro25.equ
加持的疾风之影巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]跳跃距离 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro26.equ
加持的苍穹之啸巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]冲击波范围 +12%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro27.equ
加持的嗜血之殇巨剑 : [血之狂暴],equipment,5,0,0,45,0,weapon,,swordman,是,[血之狂暴]杀死出血状态的敌人时， 自身HP恢复值 +12%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro28.equ
加持的血之反噬巨剑 : [血之狂暴],equipment,5,0,0,45,0,weapon,,swordman,是,[血之狂暴]出血几率 +22%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro29.equ
残忍之弑巨剑 : [破军升龙击],equipment,5,0,0,45,0,weapon,,swordman,是,[破军升龙击]冷却时间 -14%% | [破军升龙击]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro3.equ
加持的残忍之弑巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -18%% | [崩山裂地斩]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro30.equ
加持的疾风之影巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -9%% | [崩山裂地斩]MP消耗量 -9%% | [崩山裂地斩]攻击力 +9%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro31.equ
加持的神之怒击巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro32.equ
神之怒击巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro33.equ
残忍之弑巨剑 : [怒气爆发],equipment,5,0,0,45,0,weapon,,swordman,是,[怒气爆发]冷却时间 -14%% | [怒气爆发]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro34.equ
时光之袭巨剑 : [怒气爆发],equipment,5,0,0,45,0,weapon,,swordman,是,[怒气爆发]攻击次数 +2 | [怒气爆发]攻击力 -5%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro35.equ
神之怒击巨剑 : [怒气爆发],equipment,5,0,0,45,0,weapon,,swordman,是,[怒气爆发]攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro36.equ
残忍之弑巨剑 : [嗜魂封魔斩],equipment,5,0,0,45,0,weapon,,swordman,是,[嗜魂封魔斩]冷却时间 -14%% | [嗜魂封魔斩]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro37.equ
秘技之境巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]多段攻击 +2 | [崩山裂地斩]攻击力 -4%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro38.equ
神之怒击巨剑 : [嗜魂封魔斩],equipment,5,0,0,45,0,weapon,,swordman,是,[嗜魂封魔斩]攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro39.equ
疾风之影巨剑 : [破军升龙击],equipment,5,0,0,45,0,weapon,,swordman,是,[破军升龙击]突袭距离 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro4.equ
加持的神之怒击巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro40.equ
加持的残忍之弑巨剑 : [怒气爆发],equipment,5,0,0,45,0,weapon,,swordman,是,[怒气爆发]冷却时间 -18%% | [怒气爆发]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro41.equ
加持的时光之袭巨剑 : [怒气爆发],equipment,5,0,0,45,0,weapon,,swordman,是,[怒气爆发]攻击次数 +2 | [怒气爆发]攻击力 -4%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro42.equ
加持的神之怒击巨剑 : [怒气爆发],equipment,5,0,0,45,0,weapon,,swordman,是,[怒气爆发]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro43.equ
加持的残忍之弑巨剑 : [嗜魂封魔斩],equipment,5,0,0,45,0,weapon,,swordman,是,[嗜魂封魔斩]冷却时间 -18%% | [嗜魂封魔斩]MP消耗量 -18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro44.equ
加持的秘技之境巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]多段攻击次数 +2 | [崩山裂地斩]攻击力 -3%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro45.equ
加持的神之怒击巨剑 : [嗜魂封魔斩],equipment,5,0,0,45,0,weapon,,swordman,是,[嗜魂封魔斩]攻击力 +18%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro46.equ
时光之袭巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -7%% | [崩山裂地斩]MP消耗量 -7%% | [崩山裂地斩]攻击力 +7%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro47.equ
加持的时光之袭巨剑 : [崩山裂地斩],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -9%% | [崩山裂地斩]MP消耗量 -9%% | [崩山裂地斩]攻击力 +9%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro48.equ
Mr.根之源巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro49.equ
残忍之弑巨剑 : [猛龙断空斩],equipment,5,0,0,45,0,weapon,,swordman,是,[猛龙断空斩]冷却时间 -14%% | [猛龙断空斩]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro5.equ
秘技传授者巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro50.equ
苍鹰之眸巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro51.equ
无限猛袭巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro52.equ
血之泛滥巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro53.equ
终极鲁莽巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro54.equ
永生之谋杀巨剑,equipment,5,0,0,45,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro55.equ
加持的秘技之境巨剑 : [嗜魂封魔斩],equipment,5,0,0,45,0,weapon,,swordman,是,[嗜魂封魔斩]达到最高攻击力需吸附的敌人数 -2,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro56.equ
精 · 加持的残忍之弑巨剑 : [拔刀斩],equipment,5,70,0,61,0,weapon,,swordman,是,[拔刀斩]冷却时间 -18%% | [拔刀斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro57.equ
精 · 加持的神之怒击巨剑 : [拔刀斩],equipment,5,70,0,61,0,weapon,,swordman,是,[拔刀斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro58.equ
精 · 加持的残忍之弑巨剑 : [破军升龙击],equipment,5,70,0,61,0,weapon,,swordman,是,[破军升龙击]冷却时间 -18%% | [破军升龙击]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro59.equ
神之怒击巨剑 : [猛龙断空斩],equipment,5,0,0,45,0,weapon,,swordman,是,[猛龙断空斩]攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro6.equ
精 · 加持的疾风之影巨剑 : [破军升龙击],equipment,5,70,0,61,0,weapon,,swordman,是,[破军升龙击]突袭距离 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro60.equ
精 · 加持的残忍之弑巨剑 : [猛龙断空斩],equipment,5,70,0,61,0,weapon,,swordman,是,[猛龙断空斩]冷却时间 -18%% | [猛龙断空斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro61.equ
精 · 加持的神之怒击巨剑 : [猛龙断空斩],equipment,5,70,0,61,0,weapon,,swordman,是,[猛龙断空斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro62.equ
精 · 加持的残忍之弑巨剑 : [幻影剑舞],equipment,5,70,0,61,0,weapon,,swordman,是,[幻影剑舞]冷却时间 -18%% | [幻影剑舞]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro63.equ
精 · 加持的神之怒击巨剑 : [幻影剑舞],equipment,5,70,0,61,0,weapon,,swordman,是,[幻影剑舞]攻击力 +18%% | [钝器精通]下[幻影剑舞]的冲击波攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro64.equ
精 · 加持的残忍之弑巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]冷却时间 -18%% | [崩山击]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro65.equ
精 · 加持的疾风之影巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]跳跃距离 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro66.equ
精 · 加持的苍穹之啸巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]冲击波范围 +12%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro67.equ
精 · 加持的嗜血之殇巨剑 : [血之狂暴],equipment,5,70,0,61,0,weapon,,swordman,是,[血之狂暴]杀死出血状态的敌人时， 自身HP恢复率 +12%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro68.equ
精 · 加持的血之反噬巨剑 : [血之狂暴],equipment,5,70,0,61,0,weapon,,swordman,是,[血之狂暴]出血几率 +22%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro69.equ
残忍之弑巨剑 : [幻影剑舞],equipment,5,0,0,45,0,weapon,,swordman,是,[幻影剑舞]冷却时间 -14%% | [幻影剑舞]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro7.equ
精 · 加持的残忍之弑巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -18%% | [崩山裂地斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro70.equ
精 · 加持的疾风之影巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -9%% | [崩山裂地斩]MP消耗量 -9%% | [崩山裂地斩]攻击力 +9%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro71.equ
精 · 加持的神之怒击巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro72.equ
精 · 加持的神之怒击巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro73.equ
精 · 加持的残忍之弑巨剑 : [怒气爆发],equipment,5,70,0,61,0,weapon,,swordman,是,[怒气爆发]冷却时间 -18%% | [怒气爆发]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro74.equ
精 · 加持的时光之袭巨剑 : [怒气爆发],equipment,5,70,0,61,0,weapon,,swordman,是,[怒气爆发]攻击次数 +2 | [怒气爆发]攻击力 -4%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro75.equ
精 · 加持的神之怒击巨剑 : [怒气爆发],equipment,5,70,0,61,0,weapon,,swordman,是,[怒气爆发]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro76.equ
